GEOID,GEO.display.label,pop,pop.white,pop.not.white,pct.white,pct.not.white
17031411000,17031411000,3309,1763,1546,0.532789362,0.467210638
17031411100,17031411100,2132,1531,601,0.718105066,0.281894934
17031420300,17031420300,2488,865,1623,0.34766881,0.65233119
17031420400,17031420400,1329,265,1064,0.199398044,0.800601956
17031430300,17031430300,2336,20,2316,0.008561644,0.991438356
17031430700,17031430700,2210,93,2117,0.042081448,0.957918552
17031430800,17031430800,1763,19,1744,0.010777085,0.989222915
17031440101,17031440101,3746,21,3725,0.00560598,0.99439402
17031440102,17031440102,3127,11,3116,0.003517749,0.996482251
17031440300,17031440300,4757,32,4725,0.006726929,0.993273071
17031440600,17031440600,2080,7,2073,0.003365385,0.996634615
17031450300,17031450300,3615,25,3590,0.006915629,0.993084371
17031460100,17031460100,3405,358,3047,0.105139501,0.894860499
17031460200,17031460200,2385,596,1789,0.249895178,0.750104822
17031460301,17031460301,3404,457,2947,0.134253819,0.865746181
17031460500,17031460500,5789,56,5733,0.009673519,0.990326481
17031460600,17031460600,1183,106,1077,0.089602705,0.910397295
17031461000,17031461000,1496,298,1198,0.199197861,0.800802139
17031480100,17031480100,2033,11,2022,0.005410723,0.994589277
17031480300,17031480300,1468,10,1458,0.006811989,0.993188011
17031480400,17031480400,5876,58,5818,0.00987066,0.99012934
17031480500,17031480500,3206,253,2953,0.078914535,0.921085465
17031490600,17031490600,1562,2,1560,0.00128041,0.99871959
17031490700,17031490700,3085,6,3079,0.001944895,0.998055105
17031490901,17031490901,3891,21,3870,0.00539707,0.99460293
17031491300,17031491300,2886,23,2863,0.007969508,0.992030492
17031491400,17031491400,2931,16,2915,0.005458888,0.994541112
17031510100,17031510100,3530,1719,1811,0.486968839,0.513031161
17031510200,17031510200,2986,425,2561,0.142330877,0.857669123
17031520100,17031520100,2075,933,1142,0.449638554,0.550361446
17031520300,17031520300,6215,3279,2936,0.527594529,0.472405471
17031520400,17031520400,4090,2195,1895,0.536674817,0.463325183
17031520500,17031520500,4301,2905,1396,0.67542432,0.32457568
17031520600,17031520600,2544,1668,876,0.655660377,0.344339623
17031530300,17031530300,4273,25,4248,0.00585069,0.99414931
17031540102,17031540102,3109,4,3105,0.001286587,0.998713413
17031550100,17031550100,6628,4576,2052,0.690404345,0.309595655
17031550200,17031550200,2798,2116,682,0.756254467,0.243745533
17031560100,17031560100,1473,761,712,0.516632722,0.483367278
17031560200,17031560200,1721,130,1591,0.075537478,0.924462522
17031560300,17031560300,3187,2120,1067,0.665202385,0.334797615
17031560400,17031560400,1516,978,538,0.645118734,0.354881266
17031560700,17031560700,3484,2657,827,0.762629162,0.237370838
17031560800,17031560800,5411,4456,955,0.82350767,0.17649233
17031560900,17031560900,5093,4484,609,0.880424112,0.119575888
17031561000,17031561000,5161,4563,598,0.884130982,0.115869018
17031561100,17031561100,5407,4458,949,0.824486776,0.175513224
17031570200,17031570200,1943,1174,769,0.604220278,0.395779722
17031570300,17031570300,6116,3214,2902,0.525506867,0.474493133
17031570400,17031570400,1615,838,777,0.518885449,0.481114551
17031570500,17031570500,2462,1474,988,0.598700244,0.401299756
17031580200,17031580200,3515,1525,1990,0.433854908,0.566145092
17031580400,17031580400,4795,2052,2743,0.427945777,0.572054223
17031580501,17031580501,5067,2491,2576,0.491612394,0.508387606
17031580502,17031580502,5349,2472,2877,0.462142457,0.537857543
17031580600,17031580600,5531,2717,2814,0.491231242,0.508768758
17031580700,17031580700,6137,2715,3422,0.442398566,0.557601434
